interaction_id,user_id,item_id,event,channel,timestamp,weight
INT001,U001,I001,view,mobile,2025-01-15T10:00:00Z,0.2
INT002,U001,I001,click,mobile,2025-01-15T10:01:00Z,0.5
INT003,U001,I004,conversion,mobile,2025-01-20T14:30:00Z,1.0
INT004,U001,I003,view,mobile,2025-02-01T09:00:00Z,0.2
INT005,U001,I003,dismiss,mobile,2025-02-01T09:01:00Z,-0.3
INT006,U002,I002,view,web,2025-01-10T11:00:00Z,0.2
INT007,U002,I002,click,web,2025-01-10T11:02:00Z,0.5
INT008,U002,I007,start_flow,web,2025-01-18T16:00:00Z,0.7
INT009,U003,I006,view,mobile,2025-02-05T08:00:00Z,0.2
INT010,U003,I006,conversion,mobile,2025-02-05T08:05:00Z,1.0
INT011,U003,I022,click,mobile,2025-02-10T12:00:00Z,0.5
INT012,U004,I005,view,web,2025-01-22T19:00:00Z,0.2
INT013,U004,I005,conversion,web,2025-01-22T19:10:00Z,1.0
INT014,U005,I001,view,web,2025-02-12T10:00:00Z,0.2
INT015,U005,I001,not_interested,web,2025-02-12T10:01:00Z,-0.5
INT016,U006,I008,view,mobile,2025-01-08T09:00:00Z,0.2
INT017,U006,I008,start_flow,mobile,2025-01-08T09:15:00Z,0.7
INT018,U006,I009,click,mobile,2025-01-25T11:00:00Z,0.5
INT019,U007,I010,view,web,2025-01-30T15:00:00Z,0.2
INT020,U007,I015,view,web,2025-02-02T10:00:00Z,0.2
INT021,U008,I011,conversion,mobile,2025-01-05T08:00:00Z,1.0
INT022,U008,I013,view,mobile,2025-02-08T13:00:00Z,0.2
INT023,U008,I013,click,mobile,2025-02-08T13:02:00Z,0.5
INT024,U009,I014,view,web,2025-02-14T17:00:00Z,0.2
INT025,U009,I012,dismiss,web,2025-02-14T17:05:00Z,-0.3
INT026,U010,I009,conversion,mobile,2025-01-28T10:00:00Z,1.0
INT027,U010,I023,click,mobile,2025-02-11T09:00:00Z,0.5
INT028,U011,I017,view,web,2025-01-12T14:00:00Z,0.2
INT029,U011,I017,click,web,2025-01-12T14:05:00Z,0.5
INT030,U011,I016,start_flow,web,2025-01-19T11:00:00Z,0.7
INT031,U012,I018,view,web,2025-02-03T16:00:00Z,0.2
INT032,U012,I019,conversion,web,2025-02-03T16:20:00Z,1.0
INT033,U013,I020,click,web,2025-01-07T10:00:00Z,0.5
INT034,U013,I020,conversion,web,2025-01-07T10:30:00Z,1.0
INT035,U013,I021,view,web,2025-02-16T09:00:00Z,0.2
INT036,U014,I024,view,web,2025-02-09T08:00:00Z,0.2
INT037,U014,I024,not_interested,web,2025-02-09T08:02:00Z,-0.5
INT038,U015,I016,conversion,web,2025-01-14T13:00:00Z,1.0
INT039,U015,I017,view,web,2025-02-07T15:00:00Z,0.2
INT040,U002,I004,view,web,2025-02-18T12:00:00Z,0.2
INT041,U006,I012,view,mobile,2025-02-20T10:00:00Z,0.2
INT042,U011,I024,view,web,2025-02-21T11:00:00Z,0.2
INT043,U003,I002,click,mobile,2025-02-22T18:00:00Z,0.5
INT044,U010,I014,start_flow,web,2025-02-23T14:00:00Z,0.7
INT045,U013,I018,view,web,2025-02-24T09:00:00Z,0.2
INT046,U001,I002,click,mobile,2026-05-21T15:20:07Z,3.0
